Function Name,Parameters,Source,Line Number
AccountStoreUtil.IsCurrencyAtWarningThreshold,accountStoreCurrencyID,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,40
AccountStoreUtil.FormatCurrencyDisplayWithWarning,"accountStoreCurrencyID, currencyAmount, hideIcon",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,49
AppendIcon,text,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,55
AccountStoreUtil.AddCurrencyTotalTooltip,"tooltip, accountStoreCurrencyID",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,83
AccountStoreUtil.ShowDisabledItemInfoTooltip,"frame, itemInfo",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,108
AchievementFrame_ToggleAchievementFrame,"toggleGuildView, toggleStatFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,19
AchievementFrame_DisplayComparison,unit,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,41
AchievementFrame_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,52
IsFilterSelected,filter,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,63
SetFilterSelected,filter,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,67
AchievementFrame_SetTabs,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,90
AchievementFrame_UpdateTabs,clickedTab,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,100
AchievementFrame_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,113
AchievementFrameBaseTab_OnClick,"tabIndex, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,153
AchievementFrameComparisonTab_OnClick,"tabIndex, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,212
GetOrCreateAchievementSubFramesList,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,238
AchievementFrame_ShowSubFrame,...,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,252
AchievementFrameCategories_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,277
AchievementFrameCategories_GetCategoryList,categories,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,284
AchievementFrameCategories_DisplayButton,"button, element",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,313
AchievementFrameCategories_SelectButton,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,371
AchievementFrameAchievements_OnShow,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,464
AchievementCategoryButton_OnLoad,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,479
AchievementFrameAchievements_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,487
AchievementFrameAchievements_OnEvent,"event, ..., self",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,512
AchievementFrameAchievementsBackdrop_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,568
AchievementFrameAchievements_Update,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,573
AchievementFrameAchievements_ClearSelection,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,628
AchievementFrameAchievements_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,646
AchievementIcon_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,704
AchievementShield_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,711
AchievementShield_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,715
AchievementButton_UpdatePlusMinusTexture,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,722
AchievementButton_Collapse,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,753
AchievementButton_Expand,"self, height",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,772
AchievementButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,795
AchievementButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,829
AchievementButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,857
AchievementButton_OnClick,"self, button, down, ignoreModifiers",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,880
AchievementButton_ToggleTracking,id,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,913
AchievementButton_DisplayAchievement,"button, category, achievement, selectionID",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,941
AchievementFrameAchievements_SelectButton,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1073
AchievementButton_DisplayObjectives,"button, id, completed",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1083
AchievementsObjectivesMixin:OnLoad,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1141
AchievementsObjectivesMixin:OnHide,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1150
AchievementsObjectivesMixin:Clear,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1154
AchievementsObjectivesMixin:GetElementAtIndex,"index, localizer, template, collection",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1167
AchievementsObjectivesMixin:GetCriteria,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1181
AchievementsObjectivesMixin:GetProgressBar,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1185
AchievementsObjectivesMixin:GetMiniAchievement,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1189
AchievementsObjectivesMixin:GetMeta,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1193
AchievementButton_ResetCriteria,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1207
AchievementButton_GetMeta,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1212
AchievementButton_ToggleMetaView,frame,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1226
AchievementObjectives_DisplayProgressiveAchievement,"objectivesFrame, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1239
AchievementObjectives_DisplayCriteria,"objectivesFrame, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1299
AchievementStatButton_OnLoad,"self, parentFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1521
AchievementFrameSummary_OnShow,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1528
AchievementFrameSummary_Update,isCompare,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1544
AchievementFrameSummary_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1549
AchievementFrameSummary_UpdateAchievements,...,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1589
AchievementFrameSummaryCategoriesStatusBar_Update,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1719
AchievementFrameSummaryAchievement_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1726
AchievementFrameSummaryAchievement_SetGuildTextures,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1736
AchievementFrameSummaryCategory_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1744
AchievementFrame_SelectAchievement,"forceSelect, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1752
AchievementFrame_SelectSummaryStatistic,criteriaId,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1887
AchievementFrameComparison_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1979
AchievementFrameComparison_OnShow,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1988
AchievementFrameComparison_OnHide,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1997
AchievementFrameComparison_OnEvent,"event, ..., self",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2006
AchievementFrameComparison_SetUnit,unit,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2020
AchievementFrameComparison_DisplayAchievement,"button, category, index",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2032
AchievementFrameComparisonStat_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2114
AchievementComparisonPlayerButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2119
AchievementComparisonPlayerButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2151
AchievementComparisonPlayerButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2179
AchievementComparisonFriendButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2191
AchievementComparisonFriendButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2212
AchievementComparisonFriendButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2230
AchievementFrame_IsFeatOfStrength,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2238
AchievementMeta_OnEnter,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2294
AchievementMeta_OnLeave,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2303
AchievementShield_OnEnter,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2308
AchievementShield_OnLeave,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2341
AchievementFrameAchievements_CheckGuildMembersTooltip,requestFrame,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2352
updateTrackedAchievements,achievementIDs,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,71
GetSelectedAchievement,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,83
GetSelectedCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,89
SetSelectedAchievement,elementData,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,94
ClearSelectedCategories,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,99
InGuildView,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,103
IsCategoryFeatOfStrength,category,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,107
AchievementFrameCategories_MakeCategoryList,"source, fakeSummaryId",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,111
AchievementFrame_GetOrSelectCurrentCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,171
AchievementFrame_OnShow,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,257
AchievementFrame_OnHide,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,263
AchievementFrame_ForceUpdate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,271
AchievementFrame_SetComparisonTabs,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,286
AchievementFrame_RefreshView,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,301
OpenToSelectedCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,335
InitAchievementPage,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,341
AchievementCategoryTemplateMixin:OnLoad,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,452
AchievementCategoryTemplateMixin:OnClick,"buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,460
AchievementCategoryTemplateMixin:Init,elementData,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,464
AchievementCategoryTemplateMixin:UpdateSelectionState,selected,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,517
AchievementCategoryTemplateButtonMixin:OnEnter,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,527
AchievementCategoryTemplateButtonMixin:OnLeave,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,533
AchievementFrameCategories_ExpandToCategory,category,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,549
AchievementFrameCategories_SelectElementData,"elementData, ignoreCollapse",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,563
AchievementFrameCategories_OnCategoryClicked,button,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,627
AchievementFrameCategories_OnShow,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,631
AchievementFrameCategories_SelectDefaultElementData,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,636
AchievementFrameCategories_UpdateDataProvider,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,647
AchievementFrameCategory_StatusBarTooltip,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,658
AchievementFrameCategory_FeatOfStrengthTooltip,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,666
AchievementFrameCategories_UpdateTooltip,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,673
AchievementFrameCategories_OnCategoryChanged,category,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,681
AchievementFrameAchievements_OnHide,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,740
AchievementFrameComparison_UpdateStatusBars,id,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,747
AchievementResetter,button,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,773
AchievementInitializer,"button, elementData",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,788
AchievementFrameAchievements_GetSelectedElementData,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,813
AchievementFrameAchievements_GetSelectedAchievementId,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,817
AchievementFrameAchievements_OnAchievementEarned,achievementId,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,822
AchievementFrameAchievements_OnCriteriaUpdate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,834
AchievementFrameAchievements_UpdateTrackedAchievements,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,844
AchievementFrameAchievements_UpdateDataProvider,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,887
AchievementFrameAchievements_ForceUpdate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,913
AchievementIcon_Desaturate,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,924
AchievementIcon_Saturate,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,930
AchievementShield_OnLoad,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,951
AchievementTemplateMixin:OnLoad,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,968
AchievementTemplateMixin:ProcessClick,"buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,987
AchievementTemplateMixin:OnClick,"buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1012
AchievementTemplateMixin:OnEnter,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1016
AchievementTemplateMixin:OnLeave,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1021
AchievementTemplateMixin:UpdatePlusMinusTexture,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1028
AchievementTemplateMixin:SetSelected,selected,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1059
AchievementTemplateMixin:IsSelected,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1065
AchievementTemplateMixin:GetObjectiveFrame,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1069
AchievementTemplateMixin:Init,elementData,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1076
AchievementTemplateMixin:Collapse,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1226
AchievementTemplateMixin:Expand,height,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1250
AchievementTemplateMixin:Saturate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1277
AchievementTemplateMixin:Desaturate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1310
AchievementTemplateMixin.CalculateSelectedHeight,elementData,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1340
AchievementTemplateMixin:DisplayObjectives,"id, completed",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1459
AchievementTemplateMixin:ToggleTracking,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1498
AchievementTemplateMixin:SetAsTracked,"tracked, noSound",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1527
AchievementTemplateMixin:OnCheckClicked,"o, buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1539
AchievementTemplateMixin:OnShieldClicked,"o, buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1543
AchivementButtonCheckMixin:ApplyChecked,"checked, noSound",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1549
AchivementButtonCheckMixin:OnEnter,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1560
AchivementButtonCheckMixin:OnLeave,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1569
AchievementShield_SetPoints,"points, pointString, normalFont, smallFont",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1573
AchievementButton_ResetTable,t,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1586
AchievementButton_GetProgressivePoints,achievementID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1660
AchievementFrame_GetCategoryNumAchievements_All,categoryID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1747
AchievementFrame_GetCategoryNumAchievements_Complete,categoryID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1752
AchievementFrame_GetCategoryNumAchievements_Incomplete,categoryID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1757
AchievementFrame_SetFilter,value,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1770
AddExtraCriteriaRow,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,1790
AchievementStatTemplateMixin:OnLoad,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,2044
AchievementStatTemplateMixin:OnClick,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,2049
AchievementStatTemplateMixin:OnEnter,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,2056
